,ind,lon,lat,hs
0,0,163.49954,-76.5,0.0
1,1,164.50206,-76.5,0.0
2,2,165.4991,-76.5,0.0
3,3,166.50162,-76.5,0.0
4,4,167.49866,-76.5,0.0
5,5,168.50117,-76.5,0.0
6,6,169.49821,-76.5,0.0
7,7,170.50073,-76.5,0.0
8,8,171.49777,-76.5,0.0
9,9,172.50029,-76.5,0.0
10,10,173.49733,-76.5,0.0
11,11,174.49985,-76.5,0.0
12,12,175.50237,-76.5,0.0
13,13,176.4994,-76.5,0.0
14,14,177.50192,-76.5,0.0
15,15,178.49896,-76.5,0.0
16,16,179.50148,-76.5,0.0
17,17,180.49852,-76.5,0.0
18,18,181.50104,-76.5,0.0
19,19,182.49808,-76.5,0.0
20,20,183.5006,-76.5,0.25204956141409096
21,21,184.49763,-76.5,0.5334265981665315
22,22,185.50015,-76.5,0.7303518855264672
23,23,186.50267,-76.5,0.7789507573781829
24,24,187.49971,-76.5,0.8317530720974295
25,25,188.50223,-76.5,0.9116493212682268
26,26,189.49927,-76.5,0.8713654193046853
27,27,190.50179,-76.5,0.8204931533278714
28,28,191.49883,-76.5,0.6778060066038062
29,29,192.50134,-76.5,0.6234972409654409
30,30,193.49838,-76.5,0.5875035524875157
31,31,194.5009,-76.5,0.5757114329201205
32,32,195.49794,-76.5,0.5724319317281052
33,33,196.50046,-76.5,0.603027061133123
34,34,197.4975,-76.5,0.5420901584116441
35,35,198.50002,-76.5,0.5042181447189481
36,36,199.50253,-76.5,0.48611285216380634
37,37,200.49957,-76.5,0.4822243953864864
38,38,201.50209,-76.5,0.45680983302485745
39,39,202.49913,-76.5,0.0
40,40,203.50165,-76.5,0.0
41,41,204.49869,-76.5,0.0
42,42,205.5012,-76.5,0.0
43,43,206.49825,-76.5,0.0
44,44,207.50076,-76.5,0.0
45,45,208.4978,-76.5,0.0
46,46,209.50032,-76.5,0.0
47,47,306.49805,-76.5,0.0
48,48,307.50055,-76.5,0.0
49,49,308.4976,-76.5,0.0
50,50,309.50012,-76.5,0.0
51,51,310.50262,-76.5,0.0
52,52,311.49966,-76.5,0.0
53,53,312.5022,-76.5,0.0
54,54,313.4992,-76.5,0.0
55,55,314.50174,-76.5,0.0
56,56,315.49878,-76.5,0.0
57,57,316.50128,-76.5,0.0
58,58,317.49835,-76.5,0.0
59,59,318.50085,-76.5,0.0
60,60,319.4979,-76.5,0.0
61,61,320.50043,-76.5,0.0
62,62,321.49744,-76.5,0.0
63,63,322.49997,-76.5,0.0
64,64,323.5025,-76.5,0.0
65,65,324.4995,-76.5,0.0
66,66,325.50204,-76.5,0.1782259540709989
67,67,326.49908,-76.5,0.30186326015472636
68,68,327.5016,-76.5,0.7624115853472068
69,69,328.49866,-76.5,0.9245166166887403
70,70,329.50116,-76.5,0.9462584378662985
71,71,330.4982,-76.5,0.2810579723315063
72,72,163.49954,-75.50018,0.0
73,73,166.50162,-75.50018,0.0
74,74,167.49866,-75.50018,0.0
75,75,168.50117,-75.50018,0.0
76,76,169.49821,-75.50018,0.0
77,77,170.50073,-75.50018,0.0
78,78,171.49777,-75.50018,0.0
79,79,172.50029,-75.50018,0.0
80,80,173.49733,-75.50018,0.0
81,81,174.49985,-75.50018,0.0
82,82,175.50237,-75.50018,0.0
83,83,176.4994,-75.50018,0.0
84,84,177.50192,-75.50018,0.0
85,85,178.49896,-75.50018,0.0
86,86,179.50148,-75.50018,0.15448347470737528
87,87,180.49852,-75.50018,0.21344955824648595
88,88,181.50104,-75.50018,0.26348787044811806
89,89,182.49808,-75.50018,0.3670283546775452
90,90,183.5006,-75.50018,0.4250702266980256
91,91,184.49763,-75.50018,0.515627010467522
92,92,185.50015,-75.50018,0.5960178171224334
93,93,186.50267,-75.50018,0.6974228553135886
94,94,187.49971,-75.50018,0.7291871421746815
95,95,188.50223,-75.50018,0.8199052745837776
96,96,189.49927,-75.50018,0.8510426799894011
97,97,190.50179,-75.50018,0.8659134542664632
98,98,191.49883,-75.50018,0.8718328354581221
99,99,192.50134,-75.50018,0.8516098782206183
100,100,193.49838,-75.50018,0.8455122589390454
101,101,194.5009,-75.50018,0.7553375005071833
102,102,195.49794,-75.50018,0.0
103,103,196.50046,-75.50018,0.0
104,104,197.4975,-75.50018,0.0
105,105,198.50002,-75.50018,0.0
106,106,199.50253,-75.50018,0.0
107,107,200.49957,-75.50018,0.0
108,108,201.50209,-75.50018,0.0
109,109,202.49913,-75.50018,0.0
110,110,203.50165,-75.50018,0.0
111,111,204.49869,-75.50018,0.0
112,112,205.5012,-75.50018,0.0
113,113,206.49825,-75.50018,0.0
114,114,207.50076,-75.50018,0.0
115,115,208.4978,-75.50018,0.0
116,116,209.50032,-75.50018,0.0
117,117,210.49736,-75.50018,0.0
118,118,211.49988,-75.50018,0.0
119,119,212.5024,-75.50018,0.0
120,120,213.49944,-75.50018,0.0
121,121,302.4989,-75.50018,0.0
122,122,303.50143,-75.50018,0.0
123,123,304.49847,-75.50018,0.0
124,124,305.50098,-75.50018,0.0
125,125,306.49805,-75.50018,0.0
126,126,307.50055,-75.50018,0.0
127,127,308.4976,-75.50018,0.0
128,128,309.50012,-75.50018,0.0
129,129,310.50262,-75.50018,0.0
130,130,311.49966,-75.50018,0.0
131,131,312.5022,-75.50018,0.0
132,132,313.4992,-75.50018,0.0
133,133,314.50174,-75.50018,0.0
134,134,315.49878,-75.50018,0.0
135,135,316.50128,-75.50018,0.0
136,136,317.49835,-75.50018,0.0
137,137,318.50085,-75.50018,0.0
138,138,319.4979,-75.50018,0.0
139,139,320.50043,-75.50018,0.186925024631181
140,140,321.49744,-75.50018,0.0
141,141,322.49997,-75.50018,0.0
142,142,323.5025,-75.50018,0.0
143,143,324.4995,-75.50018,0.0
144,144,325.50204,-75.50018,0.0
145,145,326.49908,-75.50018,0.0
146,146,327.5016,-75.50018,0.0
147,147,328.49866,-75.50018,0.0
148,148,329.50116,-75.50018,0.0
149,149,330.4982,-75.50018,0.0
150,150,331.50073,-75.50018,0.0
151,151,332.49774,-75.50018,0.0
152,152,165.4991,-74.49968,0.0
153,153,166.50162,-74.49968,0.0
154,154,167.49866,-74.49968,0.0
155,155,168.50117,-74.49968,0.0
156,156,169.49821,-74.49968,0.0
157,157,170.50073,-74.49968,0.0
158,158,171.49777,-74.49968,0.0
159,159,172.50029,-74.49968,0.0
160,160,173.49733,-74.49968,0.0
161,161,174.49985,-74.49968,0.0
162,162,175.50237,-74.49968,0.0
163,163,176.4994,-74.49968,0.0
164,164,177.50192,-74.49968,0.0
165,165,178.49896,-74.49968,0.0
166,166,179.50148,-74.49968,0.3329334305527783
167,167,180.49852,-74.49968,0.3853545678372462
168,168,181.50104,-74.49968,0.5216268879798984
169,169,182.49808,-74.49968,0.5516817239685267
170,170,183.5006,-74.49968,0.5809045749112561
171,171,184.49763,-74.49968,0.6627902312738586
172,172,185.50015,-74.49968,0.6334354307184603
173,173,186.50267,-74.49968,0.6535667349872634
174,174,187.49971,-74.49968,0.7296290894179885
175,175,188.50223,-74.49968,0.8163422176604644
176,176,189.49927,-74.49968,0.8036427609449471
177,177,190.50179,-74.49968,0.9243961263978709
178,178,191.49883,-74.49968,0.9765197674055629
179,179,192.50134,-74.49968,0.9145185152086144
180,180,193.49838,-74.49968,0.0
181,181,194.5009,-74.49968,0.0
182,182,195.49794,-74.49968,0.0
183,183,196.50046,-74.49968,0.0
184,184,197.4975,-74.49968,0.0
185,185,198.50002,-74.49968,0.0
186,186,199.50253,-74.49968,0.0
187,187,200.49957,-74.49968,0.0
188,188,201.50209,-74.49968,0.0
189,189,202.49913,-74.49968,0.0
190,190,203.50165,-74.49968,0.0
191,191,204.49869,-74.49968,0.0
192,192,205.5012,-74.49968,0.0
193,193,206.49825,-74.49968,0.0
194,194,207.50076,-74.49968,0.0
195,195,208.4978,-74.49968,0.0
196,196,209.50032,-74.49968,0.0
197,197,210.49736,-74.49968,0.0
198,198,211.49988,-74.49968,0.0
199,199,212.5024,-74.49968,0.0
200,200,213.49944,-74.49968,0.0
201,201,214.50195,-74.49968,0.0
202,202,215.499,-74.49968,0.0
203,203,216.50151,-74.49968,0.0
204,204,217.49855,-74.49968,0.0
205,205,218.50107,-74.49968,0.0
206,206,219.49811,-74.49968,0.0
207,207,220.50063,-74.49968,0.0
208,208,221.49767,-74.49968,0.0
209,209,222.50018,-74.49968,0.0
210,210,223.5027,-74.49968,0.0
211,211,224.49974,-74.49968,0.0
212,212,225.50226,-74.49968,0.0
213,213,250.49947,-74.49968,0.0
214,214,251.50198,-74.49968,0.0
215,215,252.49902,-74.49968,0.0
216,216,253.50154,-74.49968,0.0
217,217,254.49858,-74.49968,0.0
218,218,255.5011,-74.49968,0.0
219,219,256.49814,-74.49968,0.0
220,220,257.50067,-74.49968,0.0
221,221,299.50232,-74.49968,0.0
222,222,300.49936,-74.49968,0.0
223,223,301.5019,-74.49968,0.0
224,224,302.4989,-74.49968,0.0
225,225,303.50143,-74.49968,0.0
226,226,304.49847,-74.49968,0.0
227,227,305.50098,-74.49968,0.0
228,228,306.49805,-74.49968,0.0
229,229,307.50055,-74.49968,0.0
230,230,308.4976,-74.49968,0.0
231,231,309.50012,-74.49968,0.0
232,232,310.50262,-74.49968,0.0
233,233,311.49966,-74.49968,0.0
234,234,312.5022,-74.49968,0.0
235,235,313.4992,-74.49968,0.0
236,236,314.50174,-74.49968,0.0
237,237,315.49878,-74.49968,0.0
238,238,316.50128,-74.49968,0.0
239,239,317.49835,-74.49968,0.0
240,240,318.50085,-74.49968,0.0
241,241,319.4979,-74.49968,0.0
242,242,320.50043,-74.49968,0.0
243,243,321.49744,-74.49968,0.0
244,244,322.49997,-74.49968,0.0
245,245,323.5025,-74.49968,0.0
246,246,324.4995,-74.49968,0.0
247,247,325.50204,-74.49968,0.0
248,248,326.49908,-74.49968,0.0
249,249,327.5016,-74.49968,0.0
250,250,328.49866,-74.49968,0.0
251,251,329.50116,-74.49968,0.0
252,252,330.4982,-74.49968,0.0
253,253,331.50073,-74.49968,0.0
254,254,332.49774,-74.49968,0.0
255,255,333.50027,-74.49968,0.0
256,256,334.4973,-74.49968,0.0
257,257,169.49821,-73.49986,0.0
258,258,170.50073,-73.49986,0.0
259,259,171.49777,-73.49986,0.0
260,260,172.50029,-73.49986,0.0
261,261,173.49733,-73.49986,0.0
262,262,174.49985,-73.49986,0.0
263,263,175.50237,-73.49986,0.0
264,264,176.4994,-73.49986,0.0
265,265,177.50192,-73.49986,0.0
266,266,178.49896,-73.49986,0.0
267,267,179.50148,-73.49986,0.0
